Name,Users,ID
Whoer VPN, 378 , 1002857
PrivateXXX VPN Proxy Ultimate, 58 , 1017002
1018464.json, 3 , 1018464
1459248.json, 3 , 1459248
VPNCity, 4327 , 1473727
Urban VPN, 30 , 1476121
Poland Visa App, 6 , 1478033
FoxyProxy Basic, 14163 , 15023
FoxyProxy Standard, 192371 , 2464
Stealthy, 21800 , 279910
ProxTube - Unblock YouTube, 77718 , 323609
anonymoX, 145792 , 325576
LocaProxy Toolbar, 436 , 378340
Unlimited Free VPN - Hola, 98877 , 413082
Proxybonanza Proxy Manager, 2619 , 431582
489762.json, 120319 , 489762
FireX Proxy, 14194 , 518394
VPN.AC SecureProxy, 1242 , 605432
617632.json, 7995 , 617632
Hotspot Shield Free VPN Proxy – Unblock Sites, 65128 , 639490
ChillGlobal, 878 , 641026
651492.json, 4118 , 651492
Mudfish - HTTP Proxy, 489 , 653502
Media Hint, 455 , 659308
672552.json, 106157 , 672552
noturno, 50 , 678823
684793.json, 5950 , 684793
Windscribe - Free VPN and Ad Blocker, 83158 , 697223
708446.json, 27796 , 708446
Privatix, a free privacy protection add-on, 3834 , 711731
Hide My IP Free, 10011 , 715981
Free VPN Proxy Service by Connected Over, 2513 , 742087
VPNetworks Proxy, 2552 , 745102
Proxy SwitchyOmega, 36835 , 805756
PeerName: Surf Blockchain-Based Domains, 2140 , 826796
Tor Control (anonymity layer), 1271 , 842817
Blockchain DNS, 7097 , 844659
SmartProxy, 2641 , 845653
PureVPN Proxy - Free VPN to Unblock with Privacy, 18702 , 851306
855408.json, 566 , 855408
865362.json, 1567 , 865362
SimpleProxy, 964 , 865510
Xton Access Manager Extension, 3 , 867807
867874.json, 2617 , 867874
ibVPN - Best VPN & Proxy, 1851 , 871062
881885.json, 20737 , 881885
Surfingkeys, 998 , 886233
Little Proxy, 201 , 887290
Geosurf Pro, 159 , 898561
898566.json, 17 , 898566
VPN99 - Full VPN solution for $0.99/mo, 398 , 903167
Archive-It Wayback Proxy Mode Toggle, 50 , 908606
WonderProxy Switcher, 98 , 922456
AutoProx, 102 , 925216
CyberGhost VPN Free Proxy, 14605 , 925408
925734.json, 108 , 925734
SaferVPN Free Proxy, 2135 , 925972
Free Residential VPN | Tuxler, 549 , 927993
OpenVideo FastStream, 1885 , 934044
Anonymous Button, 1229 , 934755
934771.json, 2422 , 934771
Rutor Torrent Search, 1343 , 935272
3G Proxy, 51 , 951457
VPN - Grab A Proxy - FREE, 4186 , 953893
954978.json, 353 , 954978
Ivacy VPN Addon: Extension For Privacy & Security, 1514 , 955928
Cloud VPN - proxy vpn service, 855 , 956541
Private Internet Access, 10198 , 960497
SIMTEST.IT Mobile internet proxy, 202 , 961046
Dat P2P Protocol, 95 , 963207
Surfshark VPN Extension for Firefox, 1779 , 963216
965131.json, 103 , 965131
966398.json, 355 , 966398
Mococheck Mobile internet proxy, 31 , 967958
Touch VPN, 79997 , 971314
RusVPN - Free VPN, 8885 , 973391
Apica Script Recorder, 32 , 976508
XTAM Broker Browser Extension, 2 , 985386
FlowVPN, 38 , 986351
991419.json, 4 , 991419
JSloader, 29 , 992403
Namebase Handshake Extension, 6 , 998484
