Name,User,search_provider,homepage,background,content_script,browser_action
---------------------
Yahoo Toolbar and New Tab, 97146 , True , False , True , False , True
GMX MailCheck for Firefox, 13451 , True , False , True , False , True
Ecosia — The search engine that plants trees!, 211451 , True , False , True , False , True
My Homepage, 4213 , False , False , False , False , False
WEB.DE MailCheck for Firefox, 17385 , True , False , True , False , True
DuckDuckGo Privacy Essentials, 501288 , True , False , True , False , True
mail.com MailCheck for Firefox, 1778 , True , False , True , False , True
Multi Web Search, 1268 , True , False , True , False , True
Qwant, 122107 , True , True , True , False , True
DIRECT PDF DOWNLOAD, 15101 , True , False , True , False , False
New Tab by Yahoo, 7657 , True , False , True , False , True
New Tab Override (WebExtension), 103145 , False , False , True , False , True
638970.json, 123583 , False , True , True , False , True
Baboom Search, 3 , True , False , True , False , True
Yahoo Search Addon, 8790 , True , False , True , False , False
New Tab StartXXL, 108 , True , True , True , False , False
Search and New Tab by Yahoo, 124471 , True , False , True , False , True
692288.json, 1444 , True , False , True , False , True
693507.json, 20189 , True , False , True , False , True
Youtube  Downloader mp3, 33178 , True , False , True , False , True
Grammalecte [fr], 15062 , True , False , True , False , True
ZimRim Extension, 1 , True , True , False , False , True
ZimRim Search Extension, 1 , True , True , False , False , True
Search and Wider Mail by Yahoo, 8580 , True , False , True , False , True
Search Encrypt, 136442 , True , False , True , False , True
New Tab Homepage, 86560 , False , False , False , False , False
Findx Default Search, 24 , True , False , True , False , True
SearchSafe.org, 10 , True , False , True , False , False
Momentum, 20260 , False , True , True , False , True
Swobbl, 18 , True , True , True , False , True
Board: Papier for Firefox, 83 , False , True , False , False , False
Bookmark Manager and Home page - myMark.me, 56 , False , True , True , False , True
LEGA B Start, 4 , False , True , False , False , False
Unofficial DuckDuckGo Plus, 72 , True , False , True , False , True
Google.co.jp search, 165 , True , False , False , False , False
Placid Tab 2 - New Tab Page, 2 , False , True , False , False , False
861170.json, 1 , False , True , False , False , False
862418.json, 1 , False , True , False , False , False
Google Browse by Name search engine, 103 , True , False , False , False , False
SearchMe123, 4 , False , True , True , False , False
Simple Online Forms, 227 , True , True , True , False , True
Bing Search Engine, 957 , True , False , False , False , True
GlobalTab, 6 , False , True , False , False , True
Classroom Quickview, 1 , False , True , True , False , True
886170.json, 2 , True , False , False , False , False
Qwant Basic, 2237 , True , False , True , False , True
