Name,Users,search_provider,homepage,background,content_script,browser_action
---------------------
Star Wars HD Wallpapers New Tab Theme, 49 , True , False , True , False , True
Angry Birds HD Wallpapers New Tab Theme, 8 , True , False , True , False , True
Miner Block - No Coin Miners, 637 , True , False , True , False , True
WhaleSlide Private Search, 23 , True , False , True , False , True
One Click Tv, 10 , False , True , False , False , True
Nursery Wallpaper,  , True , False , False , False , True
Fantasy Worlds HD Wallpapers New Tab Theme, 23 , True , False , True , False , True
Bing Search Engine, 6030 , True , False , True , False , True
Porsche vs McLaren HD Wallpapers New Tab, 3 , True , False , False , False , True
HD Nature New Page, 17 , True , True , True , False , True
stargate Theme wallpaper, 12 , True , False , False , False , True
Borderlands Wallpapers and New Tab, 18 , True , True , True , False , True
Social Conect Me, 2 , True , True , True , False , True
Yakuza 6: The Song Of Life HD New Tab, 20 , True , True , True , False , True
dolphins HD wallpaper new tab, 165 , True , False , False , False , True
HD Shawn Mendes Wallpapers, 197 , True , True , True , False , True
Angry Birds Wallpapers FullHD New Tab , 1 , True , False , True , False , True
Full HD Phantom Thread New Tab, 2 , True , True , True , False , True
CoinUp New Tab, 30 , True , True , False , False , False
New tab Hoshin Wallpaper,  , True , False , False , False , True
SearchToHelp, 1 , True , True , False , False , True
Fantastic Start, 128 , True , True , True , False , True
Batman Arkham Knight New Page, 253 , True , True , True , False , True
gamesCenter Search, 13580 , True , False , True , False , True
Wild Animals Wallpapers FullHD New Tab , 3 , True , False , True , False , True
privateNet, 9835 , True , False , True , False , True
The Terminator HD New Tab, 48 , True , True , True , False , True
GO Search, 9 , True , True , True , False , False
Free Seven: The Days Long Gone Wallpaper,  , True , True , True , False , True
Beautiful & Customizable New Tab Page Openoox, 2395 , False , True , True , False , False
Solar Village, 22 , True , False , True , False , True
New tab HD Phoenix Suns wallpaper, 40 , True , False , False , False , True
Wallpaper Far Cry 4 Tab, 136 , True , True , True , False , True
The Witness Game HD Wallpapers New Tab, 5 , True , False , False , False , True
Underwater HD Wallpapers New Tab Ocean Themes, 547 , True , False , True , False , True
Yamaha R15  HD New Tab Wallpapers, 23 , True , False , False , False , True
bestMovies Search Plus, 22052 , True , False , True , False , True
Tesla vs Nissan GT-R HD Wallpapers New Tab, 3 , True , False , False , False , True
Logic HD Wallpapers Bobby Tarantino New Tab, 159 , True , False , True , False , True
Vin Diesel New HD Tab, 8 , True , True , True , False , True
Metallic Wallpaper., 2 , True , False , False , False , True
Garry's Mod HD Wallpapers Games Theme, 176 , True , False , True , False , True
Wallpaper HD Sakura wars, 3 , True , False , False , False , True
Brainiac DC Hero HD Wallpapers New Tab, 1 , True , False , False , False , True
Dark Blue Wallpapers FullHD New Tab,  , True , False , True , False , True
Presto Search, 76 , True , False , True , False , True
Nike wallpaper HD, 156 , True , False , False , False , True
The Sims 4 Game Wallpapers, 2441 , True , False , False , False , True
Hawaii HD Wallpapers New Tab Vacation Theme, 120 , True , False , True , False , True
