Yandex,772734
Yahoo Homepage,130566
Search and New Tab by Yahoo,104002
Speed Dial [FVD] New Tab Page,97058
New Tab Override (WebExtension),96700
New Tab Homepage,93418
Yahoo Toolbar and New Tab,77284
745706.json,50425
71418.json,39379
Lilo - Home Page,25821
New Tab Tools,24635
Flixtab Movie Center,24635
Momentum,20737
Infinite Dashboard - New Tab like no other,20236
Tabliss,18922
Speed Dial 2 New tab page,15992
MoviesFanatic Tab,12478
Quick Dial,11355
New Tab. Minimal.,7210
New Tab by Yahoo,6394
SpecialSearchOffer,6043
Visual bookmarks online,5746
748773.json,5382
Tab for a Cause,5380
EasyZipTab,4862
873070.json,4484
My Homepage,4073
Infinity New Tab (Pro),3952
start.me - A personal homepage for your bookmarks,3723
Presearch.org - Start With Us,3668
Tabby Cat,3642
Blank New Tab,3243
Live Start Page - Speed Dial,2878
Earth View from Google Earth,2308
Find-It.Pro,2220
Atavi - bookmark manager,2051
Speed Dial,1939
Houzz Save Button,1934
471705.json,1586
CaretTab - New Tab Clock and Date,1439
Bookmarked Speed Dial,1319
Black New Tab,1143
Bookmark Dial,948
FF Speed Dial - the best New Tab for Firefox,843
Humble New Tab Page,763
Coupons Flash,757
916950.json,699
MyWeb New Tab,656
Change New Tab,655
Yay! Another Speed dial!,608
WowApp Smart Web,503
New Tab - Moment,467
BurningMoth SpeedDial,393
686777.json,366
825606.json,289
Crypto Tab,286
Best Homepage Ever - New Tab Quick Launch (Free),285
811388.json,265
874483.json,261
Custom New Tab Page,243
Daily - Source for Busy Developers,231
Simple Online Forms,205
Alarms & Clock,195
New Tab Tweaker,186
Tab Notes,159
Taskade - Task Lists,156
Your Weather page,155
Art New Tab,154
newtab-bookmarks,146
Subtle Tab,146
839753.json,145
Stellar Photos,140
983130.json,133
New Tab. Minimal.,128
Newtab.urlEX (Custom new tab & bookmark browser),121
Motivation,117
Board: Papier for Firefox,109
NelliTab - New Tab Page,109
Power Search New Tab,106
Bookmark Manager and Home page - myMark.me,105
Tab Master 5000,104
Tesla Start,104
Directions Found,103
Palettab,100
upStart,100
Livesports Today,88
789111.json,86
Start Page - Time & Date,85
Naruto and Sasuke Wallpaper New Tab Theme,80
Deezer Tab,79
New Tab StartXXL,78
New Tab about:blank,75
Accumulate: Daily Chinese and Japanese,75
Fortnite Wallpapers Tab Theme,72
Toolbar Dial,69
AOL Homepage,67
879516.json,64
Pretty New Tab Image,62
Lens New Tab,58
932346.json,58
Artifact Cards for New Tab,57
860538.json,57
Theme Tab,57
1000255.json,56
Developer Excuses,54
Avengers: Infinity War Theme,53
BWNT - New Tab,52
List Goal,50
926769.json,49
Multilevel Speed Dial,49
823614.json,48
Mustsee,48
Animated Nature Wallpaper Tab,46
Marvel's The Avengers HD Wallpaper New Tab Theme,46
One Piece,45
926762.json,44
TorahTab by Sefaria,43
League Of Legends Wallpaper New Tab Theme,42
1015198.json,41
Whimsy,41
980188.json,41
941088.json,39
New Tab Wallpaper,39
Free Art Tab,38
Highlight Keywords,37
NewTab with Flickr photos,37
Clear New Tab,37
Fortnite Wallpaper New Tab Theme,37
React New Tab,36
Himawari 8 Satellite New Tab Page,36
Star Wars The Last Jedi Tab,36
gootheweb Homepage,36
Overwatch Game Wallpaper New Tab Theme,36
The Atlantic Serendipity,35
Current Status New Tab.,35
BTS Bangtan Boys New Tab Theme,35
946191.json,34
856207.json,33
Tabagotchi,33
Speed Dial Quantum,33
New Empty Coloured Tab,32
Nat Geo New Tab,32
Soda PDF: Convert,30
931493.json,29
Harry Potter Tribute New Tab,28
everyday.app | Do it every day!,28
Visual Speed Dial,28
PUBG New Tab Theme,28
Galaxy HD Wallpaper New Tab Theme,27
Tokyo Ghoul New Tab Theme,26
New tab speeddial v2,26
Animated NASA HD Wallpaper Tab,25
Speed Test Ace,25
Dragon Ball Z Tribute New Tab,24
New Tab - What have you made today?,24
Solitaire Card Game New Tab,23
Player Unknown Battleground-PUBG New Tab Theme,23
Hot Bikini Women Tab Gallery,22
Yahoo New Tab,21
Supercar HD Wallpaper New Tab Theme,21
New Tab Bookmark,21
939887.json,21
974747.json,21
WOW - World Of Warcraft Wallpaper New Tab Theme,21
The Legend Of Zelda Wallpaper New Tab Theme,21
Dota2 Wallpaper HD New Tab Theme,21
Time Tab,20
My Little Pony Wallpaper Theme,20
941691.json,19
Sports Cars Gallery New Tab,18
Stranger Things New Tab Theme,18
NotesTab,18
Ephemeral Bookmark Bar,18
Baby Animals Gallery New Tab,17
Black Cat Wallpapers Tab Theme,17
Assassin's Creed: Unity New Tab,16
Super Mario Tribute New Tab,16
New Tab Memo,16
New Tab Homepage Focus2,16
Calm New Tab,16
Daily Bible Verses Tab Theme,16
earthview New Tab HD Hot Theme,16
MovieZone,16
SK Rapid Start,16
998511.json,16
Batman New Tab,15
858615.json,15
Call of Duty WWII  Tab Theme,15
God of War Wallpaper Tab Theme,15
MyHackerPage - Anonymous New Tab,15
943150.json,15
Minecraft HD Wallpaper New Tab Theme,15
ctrl tab,14
Kimi No Na Wa Wallpaper New Tab Theme,14
Anime New Tab New Tab,14
APOD by The Trav,14
Star Wars Battlefront New Tab,14
928259.json,14
975372.json,14
Thich Nhat Hanh Calligraphy,14
Get Motivated,13
FRC New Tab,13
MyBrowsersPage,13
Kingdom Hearts Wallpaper Theme,13
Orbit,13
My Hero Academia New Tab Theme,13
AnkiTab,13
nextab,12
Autumn Wallpaper New Tab Theme,12
947991.json,12
Assassin's Creed Origins Theme,12
New Tab Vocab,12
Detroit: Become Human Tab Theme,12
Road New Tab HD Wallpapers Themes,11
A Photographic Start - New Tab Page,11
GwentyTab,11
New New Tab Page,11
Palettab,11
Riverdale Wallpaper Tab Theme,11
manabu,11
Fairy Tail Wallpaper Tab Theme,11
Oriental project New Tab HD Hot Theme,10
Free Movies Search Engine,10
Mickey Mouse Tribute New Tab,10
University of Michigan New Tab,10
Christmas Holiday New Tab,10
Search Manager,10
*NEW* HD Destiny 2 New Tab Theme,10
Foxes Wallpaper New Tabs Theme,10
Rainbow Six Wallpapers Theme,10
Steward - a command launcher,10
Dogs & Puppies Wallpapers & Themes,10
Deadpool Tribute New Tab,9
Pacman Game New Tab,9
New Tab Enhanced,9
*NEW* HD Unicorn Wallpaper Theme,9
Derpi-New Tab,9
FAIRY TAIL New Tab HD Hot Theme,9
933366.json,9
Christian Wallpapers Tab Theme,9
943538.json,9
956744.json,9
Tokyo Ghoul Wallpaper New Tab Theme,8
NFL Oakland Raiders New Tab,8
Puppies New Tab,8
Fallout 4 New Tab,8
Charlie Brown New Tab Theme,8
Fantastic Start,8
XKCD Newtab,8
941106.json,8
Naruto Wallpapers Tab Theme,8
989902.json,8
Githunt,8
Dota 2 Wallpapers for New Tab,7
Useful New Tab Page,7
WebStart - Best New Tab Homepage,7
GlobalTab,7
New Tab Startpage,7
937931.json,7
Winter Snow Wallpaper Theme,7
Minecraft Wallpapers Tab Theme,7
Tropical Beach New Tab Theme,7
Cristiano Ronaldo Tab Theme,7
